"","WLS","Diet","Treatment","PTM","Acetate","Propionate","Butyrate","Total.SCFA"
"147-17","Sub1","Assorted Fiber","147_Assorted Fiber","yes",17.51564366,7.812518788,0.887696907,26.21585935
"147-15","Sub1","Assorted Fiber","147_Assorted Fiber","No",11.17360052,8.019579815,0.596301988,19.78948232
"147-53","Sub1","Assorted Fiber","147_Assorted Fiber","yes",15.34401082,8.262451975,0.593464749,24.19992755
"147-16","Sub1","Assorted Fiber","147_Assorted Fiber","yes",14.77961426,8.927573016,0.683076194,24.39026347
"147-52","Sub1","Assorted Fiber","147_Assorted Fiber","yes",16.16671539,6.583412923,0.722805051,23.47293336
"165-19","Sub8","Assorted Fiber","165_Assorted Fiber","no",21.20919106,7.58285643,1.330476162,30.12252365
"165-17","Sub8","Assorted Fiber","165_Assorted Fiber","yes",12.51771805,5.534557735,1.025373931,19.07764971
"165-58","Sub8","Assorted Fiber","165_Assorted Fiber","yes",18.65489646,10.93091432,1.226654002,30.81246478
"165-18","Sub8","Assorted Fiber","165_Assorted Fiber","yes",19.5571761,9.057034598,0.988246241,29.60245694
"165-57","Sub8","Assorted Fiber","165_Assorted Fiber","yes",20.28373407,6.923967777,1.056269645,28.26397149
"147-6","Sub1","Cellulose","147_Cellulose","yes",15.26733608,8.086335998,0.572675563,23.92634764
"147-32","Sub1","Cellulose","147_Cellulose","yes",12.42869199,5.862807288,0.512831299,18.80433057
"147-8","Sub1","Cellulose","147_Cellulose","yes",10.68489411,6.744726524,0.454697839,17.88431847
"147-33","Sub1","Cellulose","147_Cellulose","yes",15.7649308,9.536248972,0.737475644,26.03865541
"147-7","Sub1","Cellulose","147_Cellulose","no",15.28161412,8.881106856,0.567379096,24.73010007
"165-10","Sub8","Cellulose","165_Cellulose","yes ",16.17601261,6.644746939,0.651004178,23.47176373
"165-8","Sub8","Cellulose","165_Cellulose","yes ",14.26158961,8.2616622,0.810866076,23.33411788
"165-37","Sub8","Cellulose","165_Cellulose","yes",15.40440838,5.548633837,0.743580686,21.6966229
"165-9","Sub8","Cellulose","165_Cellulose","no",15.72072932,10.745924,0.817904685,27.284558
"165-36","Sub8","Cellulose","165_Cellulose","yes ",14.16765313,7.625195224,0.647851941,22.4407003
"147-22","Sub1","Inulin","147_Inulin","yes",16.07702676,8.965288735,0.895409859,25.93772535
"147-24","Sub1","Inulin","147_Inulin","yes",21.84324505,10.68337721,1.020408051,33.54703031
"147-23","Sub1","Inulin","147_Inulin","no ",10.51062837,8.325115699,0.808623463,19.64436753
"147G","Sub1","Inulin","147_Inulin","yes",9.366375476,4.084480418,0.700828601,14.1516845
"147H","Sub1","Inulin","147_Inulin","yes",15.88489678,6.258369514,0.810739472,22.95400576
"165-27","Sub8","Inulin","165_Inulin","yes",41.22996807,10.07850118,3.503907623,54.81237687
"165G","Sub8","Inulin","165_Inulin","no",15.25304054,3.412669737,0.614450511,19.28016079
"165H","Sub8","Inulin","165_Inulin","yes",13.85964201,3.863229954,0.56613647,18.28900843
"165I","Sub8","Inulin","165_Inulin","yes",32.11318395,3.985238517,1.082330001,37.18075246
"165J","Sub8","Inulin","165_Inulin","yes",43.06267435,5.591741306,2.146067784,50.80048344
"147-13","Sub1","Pectin","147_Pectin","yes",11.56357947,9.413546689,0.833631815,21.81075797
"147-14","Sub1","Pectin","147_Pectin","yes",26.41243283,9.967946836,1.105718245,37.48609791
"147-43","Sub1","Pectin","147_Pectin","no",18.96100458,9.00984479,0.728939608,28.69978898
"147-44","Sub1","Pectin","147_Pectin","yes",32.21921391,11.30804094,1.133404393,44.66065925
"147-42","Sub1","Pectin","147_Pectin","yes ",36.05814649,10.80390691,0.722898364,47.58495176
"165-48","Sub8","Pectin","165_Pectin","no",34.54236949,7.796157758,1.401247545,43.73977479
"165-47","Sub8","Pectin","165_Pectin","yes ",23.187621,9.985755151,1.169445958,34.34282211
"165-13","Sub8","Pectin","165_Pectin","yes",23.29012365,7.809975096,1.38797855,32.4880773
"165-14","Sub8","Pectin","165_Pectin","yes",27.15530412,8.095853581,1.870081992,37.12123969
"165-49","Sub8","Pectin","165_Pectin","yes",16.11380587,6.458842541,0.948891242,23.52153965
